Loading dataset...

Epoch 163, batch 163, Loss: 0.5479348301887512, Accuracy: 0.7647058823529411
Epoch 164, batch 164, Loss: 0.5159182548522949, Accuracy: 0.8235294117647058

Epoch 165, batch 165, Loss: 0.59567791223526, Accuracy: 0.7058823529411764
Epoch 166, batch 166, Loss: 0.5906521677970886, Accuracy: 0.75
Epoch 167, batch 167, Loss: 0.643418550491333, Accuracy: 0.6029411764705882
Epoch 168, batch 168, Loss: 0.487846314907074, Accuracy: 0.7794117647058824
Epoch 169, batch 169, Loss: 0.5334027409553528, Accuracy: 0.7647058823529411

Epoch 170, batch 170, Loss: 0.6036878824234009, Accuracy: 0.6470588235294118
Epoch 171, batch 171, Loss: 0.488688588142395, Accuracy: 0.7941176470588235
Epoch 172, batch 172, Loss: 0.8409166932106018, Accuracy: 0.5294117647058824
Epoch 173, batch 173, Loss: 0.5726313591003418, Accuracy: 0.7352941176470588
Epoch 174, batch 174, Loss: 0.634127676486969, Accuracy: 0.6029411764705882

Epoch 175, batch 175, Loss: 1.0961079597473145, Accuracy: 0.6470588235294118
Epoch 176, batch 176, Loss: 0.6799183487892151, Accuracy: 0.6617647058823529
Epoch 177, batch 177, Loss: 0.7039332985877991, Accuracy: 0.6029411764705882
Epoch 178, batch 178, Loss: 0.7589345574378967, Accuracy: 0.8382352941176471
Epoch 179, batch 179, Loss: 0.4888535737991333, Accuracy: 0.7205882352941176

Epoch 180, batch 180, Loss: 0.28635069727897644, Accuracy: 0.9705882352941176
Epoch 181, batch 181, Loss: 0.477336049079895, Accuracy: 0.8235294117647058
Epoch 182, batch 182, Loss: 0.5479995608329773, Accuracy: 0.7205882352941176
Epoch 183, batch 183, Loss: 0.8742027282714844, Accuracy: 0.5147058823529411
Epoch 184, batch 184, Loss: 0.4319750964641571, Accuracy: 0.8382352941176471

Epoch 185, batch 185, Loss: 0.6794076561927795, Accuracy: 0.6323529411764706
Epoch 186, batch 186, Loss: 0.3351634740829468, Accuracy: 0.9411764705882353
Epoch 187, batch 187, Loss: 0.6887889504432678, Accuracy: 0.5882352941176471
Epoch 188, batch 188, Loss: 0.43439728021621704, Accuracy: 0.8529411764705882
Epoch 189, batch 189, Loss: 0.22535187005996704, Accuracy: 1.0

Epoch 190, batch 190, Loss: 0.47748076915740967, Accuracy: 0.8235294117647058
Epoch 191, batch 191, Loss: 0.6398706436157227, Accuracy: 0.6470588235294118
Epoch 192, batch 192, Loss: 0.55361407995224, Accuracy: 0.6911764705882353
Epoch 193, batch 193, Loss: 0.614382266998291, Accuracy: 0.75
Epoch 194, batch 194, Loss: 0.6439785957336426, Accuracy: 0.6323529411764706

Epoch 195, batch 195, Loss: 0.5981451869010925, Accuracy: 0.7352941176470588
Epoch 196, batch 196, Loss: 0.6308125257492065, Accuracy: 0.6764705882352942
Epoch 197, batch 197, Loss: 1.0121365785598755, Accuracy: 0.4117647058823529
Epoch 198, batch 198, Loss: 0.32154029607772827, Accuracy: 0.9117647058823529
Epoch 199, batch 199, Loss: 0.6294307112693787, Accuracy: 0.7058823529411764

Epoch 200, batch 200, Loss: 0.42775943875312805, Accuracy: 0.8088235294117647
Epoch 201, batch 201, Loss: 0.46413010358810425, Accuracy: 0.7647058823529411
Epoch 202, batch 202, Loss: 0.7259024381637573, Accuracy: 0.5882352941176471
Epoch 203, batch 203, Loss: 0.3210480213165283, Accuracy: 0.9117647058823529
Epoch 204, batch 204, Loss: 0.594685435295105, Accuracy: 0.6470588235294118

Epoch 205, batch 205, Loss: 0.6886176466941833, Accuracy: 0.5294117647058824
Epoch 206, batch 206, Loss: 0.4482544958591461, Accuracy: 0.8529411764705882
Epoch 207, batch 207, Loss: 0.597444474697113, Accuracy: 0.75
Epoch 208, batch 208, Loss: 0.5246347188949585, Accuracy: 0.75
Epoch 209, batch 209, Loss: 0.5329004526138306, Accuracy: 0.7352941176470588

Epoch 210, batch 210, Loss: 0.47433534264564514, Accuracy: 0.8088235294117647
Epoch 211, batch 211, Loss: 0.5062930583953857, Accuracy: 0.7794117647058824
Epoch 212, batch 212, Loss: 0.5214203596115112, Accuracy: 0.7794117647058824
Epoch 213, batch 213, Loss: 0.6052205562591553, Accuracy: 0.7058823529411764
Epoch 214, batch 214, Loss: 0.6915587782859802, Accuracy: 0.6029411764705882

Epoch 215, batch 215, Loss: 0.5638354420661926, Accuracy: 0.7205882352941176
Epoch 216, batch 216, Loss: 0.45932984352111816, Accuracy: 0.7647058823529411
Epoch 217, batch 217, Loss: 0.6008663773536682, Accuracy: 0.6617647058823529
Epoch 218, batch 218, Loss: 0.5212873816490173, Accuracy: 0.75
Epoch 219, batch 219, Loss: 0.5855942964553833, Accuracy: 0.7058823529411764

Epoch 220, batch 220, Loss: 0.606751561164856, Accuracy: 0.6911764705882353
Epoch 221, batch 221, Loss: 0.5086581707000732, Accuracy: 0.7794117647058824
Epoch 222, batch 222, Loss: 0.6761658787727356, Accuracy: 0.6323529411764706
Epoch 223, batch 223, Loss: 0.4905359148979187, Accuracy: 0.7205882352941176
Epoch 224, batch 224, Loss: 0.658596932888031, Accuracy: 0.6176470588235294

