Streaming output truncated to the last 5000 lines.
Epoch 292, Loss: 0.5157907605171204, Accuracy: 0.7794117647058824
Epoch 293, Loss: 0.3240396976470947, Accuracy: 0.8970588235294118
Epoch 294, Loss: 0.5379169583320618, Accuracy: 0.7647058823529411
Epoch 295, Loss: 0.8148785829544067, Accuracy: 0.4852941176470588
Epoch 296, Loss: 0.6466699242591858, Accuracy: 0.6617647058823529
Epoch 297, Loss: 0.6020967364311218, Accuracy: 0.6764705882352942
Epoch 298, Loss: 0.312104195356369, Accuracy: 0.9411764705882353
Epoch 299, Loss: 0.5582796931266785, Accuracy: 0.7647058823529411
Epoch 300, Loss: 0.6856294274330139, Accuracy: 0.6176470588235294
Epoch 301, Loss: 0.45209088921546936, Accuracy: 0.8235294117647058
Epoch 302, Loss: 0.564242422580719, Accuracy: 0.7941176470588235
Epoch 303, Loss: 0.5211576223373413, Accuracy: 0.75
Epoch 304, Loss: 0.6279169321060181, Accuracy: 0.6617647058823529
Epoch 305, Loss: 0.4103636145591736, Accuracy: 0.9117647058823529
Epoch 306, Loss: 0.45499709248542786, Accuracy: 0.8529411764705882
Epoch 307, Loss: 0.6809296011924744, Accuracy: 0.5
Epoch 308, Loss: 0.6586294770240784, Accuracy: 0.6617647058823529
Epoch 309, Loss: 0.6289371252059937, Accuracy: 0.6323529411764706
Epoch 310, Loss: 0.6006410121917725, Accuracy: 0.6323529411764706
Epoch 311, Loss: 0.5933763980865479, Accuracy: 0.7205882352941176
Epoch 312, Loss: 0.754667341709137, Accuracy: 0.38235294117647056
Epoch 313, Loss: 0.6142968535423279, Accuracy: 0.6764705882352942
Epoch 314, Loss: 0.6060648560523987, Accuracy: 0.6617647058823529
Epoch 315, Loss: 0.6209937334060669, Accuracy: 0.6470588235294118
Epoch 316, Loss: 0.9365062713623047, Accuracy: 0.3088235294117647
Epoch 317, Loss: 0.5280394554138184, Accuracy: 0.7352941176470588
Epoch 318, Loss: 0.7040938138961792, Accuracy: 0.5441176470588235
Epoch 319, Loss: 0.6294405460357666, Accuracy: 0.6617647058823529
Epoch 320, Loss: 0.548845648765564, Accuracy: 0.7941176470588235
Epoch 321, Loss: 0.6056065559387207, Accuracy: 0.7352941176470588
Epoch 322, Loss: 0.43194863200187683, Accuracy: 0.8235294117647058
Epoch 323, Loss: 0.5523087382316589, Accuracy: 0.7647058823529411
Epoch 324, Loss: 0.5516394376754761, Accuracy: 0.7205882352941176
Epoch 325, Loss: 0.6642900705337524, Accuracy: 0.5441176470588235
Epoch 326, Loss: 0.28591158986091614, Accuracy: 0.9705882352941176
Epoch 327, Loss: 0.44826528429985046, Accuracy: 0.8823529411764706
Epoch 328, Loss: 0.4007413387298584, Accuracy: 0.8235294117647058
Epoch 329, Loss: 0.648112952709198, Accuracy: 0.6029411764705882
Epoch 330, Loss: 0.6823172569274902, Accuracy: 0.5294117647058824
Epoch 331, Loss: 0.5519930124282837, Accuracy: 0.8088235294117647
Epoch 332, Loss: 0.6442411541938782, Accuracy: 0.6617647058823529
Epoch 333, Loss: 0.6076016426086426, Accuracy: 0.7058823529411764
Epoch 334, Loss: 0.602778971195221, Accuracy: 0.7058823529411764
Epoch 335, Loss: 0.5462033748626709, Accuracy: 0.7205882352941176
Epoch 336, Loss: 0.5331283807754517, Accuracy: 0.7794117647058824
Epoch 337, Loss: 0.5860882997512817, Accuracy: 0.6617647058823529
Epoch 338, Loss: 0.581881582736969, Accuracy: 0.7058823529411764
Epoch 339, Loss: 0.5539405941963196, Accuracy: 0.6617647058823529
Epoch 340, Loss: 0.24414555728435516, Accuracy: 0.9558823529411764
Epoch 341, Loss: 0.43670952320098877, Accuracy: 0.8088235294117647
Epoch 342, Loss: 0.47576937079429626, Accuracy: 0.8382352941176471
Epoch 343, Loss: 0.3758818805217743, Accuracy: 0.9411764705882353
Epoch 344, Loss: 0.5638214349746704, Accuracy: 0.7941176470588235
Epoch 345, Loss: 0.2314630150794983, Accuracy: 0.9411764705882353
Epoch 346, Loss: 0.5889492034912109, Accuracy: 0.7058823529411764
Epoch 347, Loss: 0.6149193048477173, Accuracy: 0.6617647058823529
Epoch 348, Loss: 0.5932634472846985, Accuracy: 0.7058823529411764
Epoch 349, Loss: 0.41088053584098816, Accuracy: 0.8088235294117647
Epoch 350, Loss: 0.5502369999885559, Accuracy: 0.75
